shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
2309021129606835,574VJ,024WH,2309021129606835,574VJ,024WH
2309021129651865,573XF,771WH,2309021129651865,573XF,771WH
2309021129667142,579WH,023WH,2309021129667142,579WH,023WH
2309021129667172,579WH,029WH,2309021129667172,579WH,029WH
2309021129710940,579WH,871WH,2309021129710940,579WH,871WH
2309021129716457,573XF,512WH,2309021129716457,573XF,512WH
2309021129716569,571XF,851WH,2309021129716569,571XF,851WH
2309021129716569,573XF,851WH,2309021129716569,573XF,851WH
2309021129736554,592WH,024WH,2309021129736554,592WH,024WH
2309021129736584,592WH,371WH,2309021129736584,592WH,371WH
2309021129917832,579WH,574WG,2309021129917832,579WH,574WG
2309021129931714,553WH,755VF,2309021129931714,553WH,755VF
2309021130004377,595WH,757WL,2309021130004377,595WH,757WL
2309021130075798,595WH,769WK,2309021130075798,595WH,769WK
2309021130098883,579WH,574WG,2309021130098883,579WH,574WG
2309021130128705,575WK,029WH,2309021130128705,575WK,029WH
2309021130143493,592WH,021WW,2309021130143493,592WH,021WW
2309021130186271,575WK,023WH,2309021130186271,575WK,023WH
2309021130264513,574WG,755VF,2309021130264513,574WG,755VF
2309021130304479,577WH,023WH,2309021130304479,577WH,023WH
2309021130437084,595WH,024WH,2309021130437084,595WH,024WH
2309021130546376,752WH,024WH,2309021130546376,752WH,024WH
2309021130611287,S731WJ,871WH,2309021130611287,S731WJ,871WH
2309021130801964,752WH,371WH,2309021130801964,752WH,371WH
2309021131005897,769WK,663WH,2309021131005897,769WK,663WH
2309021131006301,769WK,8981VH,2309021131006301,769WK,8981VH
2309021131058695,791WH,024WH,2309021131058695,791WH,024WH
2309021131111258,771WH,028WH,2309021131111258,771WH,028WH
2309021131327333,791WH,023WH,2309021131327333,791WH,023WH
2309021131327333,791WH,028WH,2309021131327333,791WH,028WH
2309021131327393,791WH,536WH,2309021131327393,791WH,536WH
2309021131367133,851WH,022WH,2309021131367133,851WH,022WH
2309021131604245,931WH,991WH,2309021131604245,931WH,991WH
2309021131938605,S029WJ,931WH,2309021131938605,S029WJ,931WH
2309021132060727,931WH,991WH,2309021132060727,931WH,991WH
2309021132084881,S971WA,029WH,2309021132084881,S971WA,029WH
2309021132084881,S971WA,931WH,2309021132084881,S971WA,931WH
2309021132979046,539WH,530VH,2309021132979046,539WH,530VH
2309021132979380,539WH,531WH,2309021132979380,539WH,531WH
2309021133188918,021WW,851WH,2309021133188918,021WW,851WH
2309021133188918,021WW,871WH,2309021133188918,021WW,871WH
2309021133305900,311WH,022WH,2309021133305900,311WH,022WH
2309021133317093,558WH,757WL,2309021133317093,558WH,757WL
2309021133487235,551WH,760WH,2309021133487235,551WH,760WH
2309021133550114,536WH,028WH,2309021133550114,536WH,028WH
2309021133915102,411WH,024WH,2309021133915102,411WH,024WH
2309021133915102,S411AAD,024WH,2309021133915102,S411AAD,024WH
2309021133979050,024WH,551WH,2309021133979050,024WH,551WH
2309021134151677,510WH,024WH,2309021134151677,510WH,024WH
2309021134231928,536WH,757WL,2309021134231928,536WH,757WL
2309021134277404,592WH,022WH,2309021134277404,592WH,022WH
2309021134277489,752WH,022WH,2309021134277489,752WH,022WH
2309021134343794,579WH,573XF,2309021134343794,579WH,573XF
2309021134351368,022WH,7311WJ,2309021134351368,022WH,7311WJ
2309023080100584,S020WB,8981VH,2309023080100584,S020WB,8981VH
2309023080101125,S579WJ,871WH,2309023080101125,S579WJ,871WH
2309023080101291,S631WJ,536WH,2309023080101291,S631WJ,536WH
2309023081000001,S020WB,991WH,2309023081000001,S020WB,991WH
2309023082200001,S020WA,991WH,null,null,null
2309023090120039,S311W,871WH,2309023090120039,S311W,871WH
2309023090213004,S532W,535WH,2309023090213004,S532W,535WH
230903017734652,574VJ,029WH,230903017734652,574VJ,029WH
230903017734665,574VJ,510WH,230903017734665,574VJ,510WH
230903017734665,574VJ,536WH,230903017734665,574VJ,536WH
230903017734705,574VJ,579WH,230903017734705,574VJ,579WH
230903017734706,574VJ,579WH,230903017734706,574VJ,579WH
230903017734789,574VJ,769WK,230903017734789,574VJ,769WK
230903017734790,574VJ,769WK,230903017734790,574VJ,769WK
230903017734791,574VJ,769WK,230903017734791,574VJ,769WK
230903017734935,574VJ,023WH,230903017734935,574VJ,023WH
230903017734935,574VJ,028WH,230903017734935,574VJ,028WH
230903017735593,575WK,022WH,230903017735593,575WK,022WH
230903017735632,575WK,021WW,230903017735632,575WK,021WW
