area_code,PRO_NAME,LEVEL_2_TYPE,priority_no,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
592Y,肉类熟食项目,知了猴,6,万元,生鲜肉类,
755Y,海鲜水产项目,贝类,6,万元,海鲜水产类,
510Y,其他常温水果项目,板栗,5,万元,生鲜果蔬类,
991Y,肉类熟食项目,鸡肉,6,万元,生鲜肉类,
023Y,蔬菜项目,红薯,9,万元,生鲜果蔬类,
023Y,其他常温水果项目,西瓜,6,万元,生鲜果蔬类,
731Y,活体项目,禽类,24,万元,活体项目,
551Y,花卉苗木项目,百合,9,万元,花卉苗木类,
757Y,苹果项目,苹果,23,万元,生鲜果蔬类,
371Y,肉类熟食项目,蛋奶制品,1,万元,生鲜肉类,
371Y,葡萄项目,葡萄,20,万元,生鲜果蔬类,
451Y,其他常温水果项目,水蜜桃,5,万元,生鲜果蔬类,
027Y,粮油副食项目,蛋奶制品,8,万元,生鲜肉类,
431Y,滋补品项目,蜂蜜,17,万元,其他,
311Y,花卉苗木项目,鲜花,7,万元,花卉苗木类,
536Y,海鲜水产项目,其他海鲜水产,1,万元,海鲜水产类,
029Y,蔬菜项目,莲藕,11,万元,生鲜果蔬类,
577Y,肉类熟食项目,肉丸,5,万元,生鲜肉类,
871Y,蔬菜项目,山菜,4,万元,生鲜果蔬类,
451Y,粽子项目,粽子,15,万元,假日类,
731Y,蔬菜项目,香菇,3,万元,生鲜果蔬类,
531Y,海鲜水产项目,鱼类,5,万元,海鲜水产类,
311Y,海鲜水产项目,海参,12,万元,海鲜水产类,
791Y,蔬菜项目,笋,6,万元,生鲜果蔬类,
532Y,瓜项目,哈密瓜,20,万元,生鲜果蔬类,
536Y,肉类熟食项目,鸡肉,5,万元,生鲜肉类,
536Y,粮油副食项目,花椒,9,万元,粮油米面调料类,
513Y,肉类熟食项目,其他肉类熟食,3,万元,生鲜肉类,
574Y,海鲜水产项目,海蜇,1,万元,海鲜水产类,
574Y,茶叶项目,花茶,9,万元,茶叶类,
595Y,海鲜水产项目,水鱼,2,万元,海鲜水产类,
351Y,花卉苗木项目,干花,13,万元,花卉苗木类,
021Y,茶叶项目,茶叶,4,万元,茶叶类,
752Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
760Y,蔬菜项目,食用菌,13,万元,生鲜果蔬类,
571Y,粽子项目,粽子,10,万元,假日类,
571Y,茶叶项目,花茶,1,万元,茶叶类,
010Y,海鲜水产项目,虾类,6,万元,海鲜水产类,
757Y,海鲜水产项目,虾类,2,万元,海鲜水产类,
898Y,其他常温水果项目,莲雾,1,万元,生鲜果蔬类,
451Y,牛羊肉项目,牛羊肉,1,万元,生鲜肉类,
731Y,蔬菜项目,百合,3,万元,生鲜果蔬类,
531Y,蔬菜项目,食用菌,2,万元,生鲜果蔬类,
316Y,海鲜水产项目,牡蛎,1,万元,海鲜水产类,
311Y,枸杞项目,枸杞,23,万元,生鲜果蔬类,
311Y,干货项目,南北干货,5,万元,南北干货类,
791Y,肉类熟食项目,其他肉类熟食,3,万元,生鲜肉类,
536Y,桃项目,水蜜桃,13,万元,生鲜果蔬类,
536Y,蔬菜项目,莲藕,3,万元,生鲜果蔬类,
574Y,蔬菜项目,萝卜,7,万元,生鲜果蔬类,
574Y,粮油副食项目,粮油米面调料,10,万元,粮油米面调料类,
755Y,海鲜水产项目,鲅鱼,6,万元,海鲜水产类,
512Y,葡萄项目,葡萄,14,万元,生鲜果蔬类,
512Y,茶叶项目,花茶,3,万元,茶叶类,
752Y,海鲜水产项目,贝类,1,万元,海鲜水产类,
023Y,肉类熟食项目,肉丸,1,万元,生鲜肉类,
551Y,草莓项目,草莓,14,万元,生鲜果蔬类,
371Y,肉类熟食项目,鸡肉,1,万元,生鲜肉类,
451Y,花卉苗木项目,苗木,12,万元,花卉苗木类,
431Y,蔬菜项目,其他蔬菜,2,万元,生鲜果蔬类,
579Y,粮油副食项目,艾草,9,万元,粮油米面调料类,
024Y,海鲜水产项目,其他海鲜水产,1,万元,海鲜水产类,
532Y,活体项目,观赏类,1,万元,活体类,
536Y,牛羊肉项目,牛羊肉,8,万元,生鲜肉类,
025Y,蔬菜项目,其他蔬菜,5,万元,生鲜果蔬类,
513Y,干货项目,南北干货,6,万元,南北干货类,
517Y,蔬菜项目,莲藕,6,万元,生鲜果蔬类,
022Y,海鲜水产项目,鱼类,1,万元,海鲜水产类,
752Y,干货项目,核桃,10,万元,南北干货类,
871Y,滋补品项目,中药材,5,万元,南北干货类,
571Y,海鲜水产项目,鱼类,8,万元,海鲜水产类,
371Y,牛羊肉项目,牛羊肉,5,万元,生鲜肉类,
027Y,牛羊肉项目,牛羊肉,5,万元,生鲜肉类,
731Y,蔬菜项目,其他蔬菜,3,万元,生鲜果蔬类,
