area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
010Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
010Y,常温水果项目,生鲜水果,,生鲜类,青梅
020Y,茶叶项目,茶类,,副食干货类,红茶
021Y,龙虾项目,海鲜水产,万元,生鲜类,龙虾
021Y,花卉苗木项目,绿植园艺,,农业生产,永生花
021Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
021Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
024Y,预制菜项目,熟食类,,副食干货类,卤味
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
025Y,常温水果项目,生鲜水果,,生鲜类,青梅
311Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
311Y,茶叶项目,茶类,,副食干货类,黄茶
316Y,常温水果项目,生鲜水果,,生鲜类,柿子
351Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
351Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
431Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
431Y,茶叶项目,茶类,,副食干货类,罗汉果
451Y,苹果项目,生鲜水果,万元,生鲜类,苹果
451Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
512Y,预制菜项目,熟食类,,副食干货类,熟食肉类
513Y,预制菜项目,熟食类,,副食干货类,凉拌菜
532Y,禽鱼项目,活体类,,生鲜类,禽类
532Y,常温水果项目,生鲜水果,,生鲜类,橄榄
536Y,猕猴桃项目,生鲜水果,万元,生鲜类,奇异果/猕猴桃
571Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
574Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
579Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
591Y,茶叶项目,茶类,,副食干货类,绿茶
592Y,粮油副食项目,粮油调味,,副食干货类,面食
592Y,茶叶项目,茶类,,副食干货类,黑茶
595Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
595Y,常温水果项目,生鲜水果,,生鲜类,山楂果
731Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
731Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
755Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
760Y,滋补品项目,保健滋补,,医药保健,阿胶
769Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
769Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
791Y,肉类熟食项目,生鲜肉类,,生鲜类,猪肉
871Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸡蛋
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
931Y,瓜项目,生鲜水果,,生鲜类,香瓜/甜瓜
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
991Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
010Y,茶叶项目,茶类,,副食干货类,罗汉果
021Y,蟹项目,蟹类,,生鲜类,梭子蟹
025Y,滋补品项目,中药材,,医药保健,鹿鞭
025Y,常温水果项目,生鲜水果,,生鲜类,桑葚
027Y,海鲜水产项目,海鲜水产,,生鲜类,贝类
027Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
028Y,桃项目,生鲜水果,万元,生鲜类,黄桃/水蜜桃
028Y,肉类熟食项目,生鲜肉类,,生鲜类,其它鲜肉
028Y,常温水果项目,生鲜水果,,生鲜类,释迦果
029Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
311Y,常温水果项目,生鲜水果,,生鲜类,山楂果
311Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
351Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
371Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
451Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
451Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
471Y,海鲜水产项目,海鲜水产,,生鲜类,海参
512Y,常温水果项目,生鲜水果,,生鲜类,山楂果
513Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
513Y,花卉苗木项目,绿植园艺,,农业生产,永生花
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
517Y,常温水果项目,生鲜水果,,生鲜类,桑葚
531Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
532Y,粮油副食项目,粮油调味,,副食干货类,面食
536Y,蟹项目,蟹类,万元,生鲜类,大闸蟹
551Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
551Y,茶叶项目,茶类,,副食干货类,花茶
571Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
577Y,常温水果项目,生鲜水果,,生鲜类,橄榄
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
579Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
591Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
592Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
592Y,预制菜项目,熟食类,,副食干货类,凉拌菜
731Y,肉类熟食项目,生鲜肉类,,生鲜类,鸡肉
731Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
731Y,干货项目,干货,万元,副食干货类,蔬菜干货
731Y,常温水果项目,生鲜水果,,生鲜类,青梅
757Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
760Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
851Y,预制菜项目,熟食类,,副食干货类,香肠火腿
851Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
991Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
010Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
020Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
022Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
023Y,预制菜项目,熟食类,,副食干货类,卤味
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
024Y,茶叶项目,茶类,,副食干货类,青茶
025Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
027Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
027Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
028Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
029Y,禽鱼项目,活体类,,生鲜类,活体
311Y,粮油副食项目,粮油调味,,副食干货类,面食
316Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
371Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
536Y,蟹项目,蟹类,,生鲜类,螃蟹
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
551Y,茶叶项目,茶类,,副食干货类,罗汉果
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
574Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
574Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
579Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
592Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
595Y,茶叶项目,茶类,,副食干货类,花茶
731Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
731Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
731Y,茶叶项目,茶类,,副食干货类,茶叶
752Y,预制菜项目,熟食类,,副食干货类,凉拌菜
757Y,荔枝项目,生鲜水果,万元,生鲜类,荔枝
760Y,蟹项目,蟹类,,生鲜类,螃蟹
760Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
760Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
769Y,海鲜水产项目,干货,万元,副食干货类,海产干货
771Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
871Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
898Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
898Y,常温水果项目,生鲜水果,,生鲜类,青梅
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
991Y,常温水果项目,生鲜水果,,生鲜类,圣女果
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
010Y,粮油副食项目,粮油调味,,副食干货类,面食
020Y,滋补品项目,保健滋补,,医药保健,燕窝
020Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
024Y,蓝莓项目,生鲜水果,万元,生鲜类,蓝莓
024Y,常温水果项目,生鲜水果,,生鲜类,山竹
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
351Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
431Y,茶叶项目,茶类,,副食干货类,茶叶
431Y,参茸项目,中药材,,医药保健,人参
451Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
471Y,常温水果项目,生鲜水果,,生鲜类,其它水果
471Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
513Y,滋补品项目,中药材,,医药保健,枸杞
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
517Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
517Y,常温水果项目,生鲜水果,,生鲜类,无花果
536Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
551Y,樱桃项目,生鲜水果,万元,生鲜类,樱桃
551Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
591Y,预制菜项目,粮油调味,,副食干货类,豆制品
591Y,蟹项目,蟹类,,生鲜类,梭子蟹
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
595Y,预制菜项目,熟食类,,副食干货类,熟食菜品
731Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
752Y,常温水果项目,生鲜水果,,生鲜类,柠檬
755Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
769Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
769Y,常温水果项目,生鲜水果,,生鲜类,菠萝
771Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
771Y,月饼项目,月饼类,,副食干货类,普通月饼
791Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
851Y,海鲜水产项目,海鲜水产,,生鲜类,鱼类
871Y,常温水果项目,生鲜水果,,生鲜类,槟榔
871Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
871Y,常温水果项目,生鲜水果,,生鲜类,青梅
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
010Y,禽鱼项目,活体类,,生鲜类,禽类
020Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
022Y,茶叶项目,茶类,,副食干货类,花茶
022Y,茶叶项目,茶类,,副食干货类,青茶
028Y,参茸项目,生鲜蔬菜,,生鲜类,松茸
029Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
029Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
029Y,茶叶项目,茶类,,副食干货类,茶叶
316Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
316Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
351Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
371Y,樱桃项目,生鲜水果,万元,生鲜类,樱桃
471Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
510Y,常温水果项目,生鲜水果,,生鲜类,榴莲
512Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
512Y,常温水果项目,生鲜水果,,生鲜类,槟榔
512Y,茶叶项目,茶类,,副食干货类,黄茶
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,菌菇
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
574Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
579Y,滋补品项目,中药材,,医药保健,灵芝
591Y,预制菜项目,熟食类,,副食干货类,熟食菜品
591Y,茶叶项目,茶类,,副食干货类,黄茶
592Y,肉类熟食项目,生鲜肉类,,生鲜类,鸟肉
752Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
752Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
755Y,预制菜项目,冻食类,万元,副食干货类,饺子
755Y,海鲜水产项目,海鲜水产,,生鲜类,贝类
760Y,粮油副食项目,粮油调味,,副食干货类,面食
769Y,预制菜项目,冻食类,万元,副食干货类,饺子
769Y,常温水果项目,生鲜水果,,生鲜类,桑葚
771Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
771Y,常温水果项目,生鲜水果,万元,生鲜类,百香果
771Y,茶叶项目,茶类,,副食干货类,普洱
791Y,预制菜项目,冻食类,,副食干货类,汤圆
851Y,茶叶项目,茶类,,副食干货类,黄茶
871Y,预制菜项目,熟食类,,副食干货类,凉皮
871Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
871Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
871Y,草莓项目,生鲜水果,万元,生鲜类,草莓
898Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
931Y,常温水果项目,生鲜水果,,生鲜类,其它水果
991Y,滋补品项目,保健滋补,,医药保健,阿胶
010Y,常温水果项目,生鲜水果,,生鲜类,槟榔
020Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
021Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
021Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
021Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
027Y,常温水果项目,生鲜水果,,生鲜类,青梅
028Y,蟹项目,蟹类,,生鲜类,帝王蟹
029Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
029Y,葡萄项目,生鲜水果,万元,生鲜类,红提/葡萄
311Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
311Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
316Y,茶叶项目,中药材,,医药保健,石斛/枫斗
471Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
471Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
513Y,蔬菜项目,生鲜蔬菜,,生鲜类,苁蓉
513Y,禽鱼项目,活体类,,生鲜类,禽类
517Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
531Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
532Y,蟹项目,蟹类,万元,生鲜类,大闸蟹
551Y,肉类熟食项目,生鲜肉类,,生鲜类,其它鲜肉
574Y,禽鱼项目,活体类,万元,生鲜类,虫类
579Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
592Y,预制菜项目,休闲食品,,副食干货类,自热食品
592Y,禽鱼项目,活体类,,生鲜类,活体
592Y,常温水果项目,生鲜水果,,生鲜类,鸡心果/鸡蛋果
752Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
752Y,蔬菜项目,生鲜蔬菜,,生鲜类,菜苗
752Y,常温水果项目,生鲜水果,,生鲜类,柿子
755Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
755Y,常温水果项目,生鲜水果,,生鲜类,山竹
757Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
760Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
771Y,禽鱼项目,活体类,,生鲜类,观赏类
791Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
851Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
871Y,滋补品项目,中药材,,医药保健,灵芝
871Y,预制菜项目,冻食类,,副食干货类,汤圆
931Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
931Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
931Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
931Y,常温水果项目,生鲜水果,,生鲜类,椰子
020Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
021Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
021Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
022Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
023Y,滋补品项目,中药材,,医药保健,枸杞
024Y,常温水果项目,生鲜水果,,生鲜类,龙宫果
025Y,预制菜项目,冻食类,万元,副食干货类,饺子
025Y,茶叶项目,茶类,,副食干货类,龙井
027Y,预制菜项目,熟食类,,副食干货类,卤味
028Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
029Y,预制菜项目,休闲食品,,副食干货类,自热食品
029Y,海鲜水产项目,海鲜水产,,生鲜类,海参
316Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
371Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
451Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
510Y,滋补品项目,中药材,,医药保健,其它中药材
513Y,常温水果项目,生鲜水果,,生鲜类,山楂果
513Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
517Y,花卉苗木项目,绿植园艺,万元,农业生产,苗木
531Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
532Y,樱桃项目,生鲜水果,万元,生鲜类,樱桃
532Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
536Y,预制菜项目,粮油调味,,副食干货类,豆制品
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,折耳根
536Y,梨项目,生鲜水果,万元,生鲜类,梨子
551Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
551Y,常温水果项目,生鲜水果,,生鲜类,山竹
571Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
571Y,常温水果项目,生鲜水果,,生鲜类,菇娘果
577Y,预制菜项目,熟食类,,副食干货类,腊味腊肉
577Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
579Y,月饼项目,月饼类,,副食干货类,普通月饼
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
595Y,预制菜项目,熟食类,,副食干货类,熟食肉类
595Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
731Y,葡萄项目,生鲜水果,万元,生鲜类,红提/葡萄
752Y,常温水果项目,生鲜水果,,生鲜类,槟榔
755Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
755Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
755Y,常温水果项目,生鲜水果,,生鲜类,西梅
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,苁蓉
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,洋葱
871Y,预制菜项目,休闲食品,,副食干货类,自热食品
898Y,蔬菜项目,生鲜蔬菜,,生鲜类,椿菜
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲子莲蓬
020Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
020Y,茶叶项目,茶类,,副食干货类,普洱
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
025Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
028Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
028Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
029Y,花卉苗木项目,绿植园艺,,农业生产,永生花
311Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
316Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
351Y,预制菜项目,冻食类,,副食干货类,丸子
351Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
451Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
451Y,茶叶项目,茶类,,副食干货类,乌龙茶
510Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
513Y,预制菜项目,冻食类,万元,副食干货类,饺子
531Y,苹果项目,生鲜水果,万元,生鲜类,苹果
532Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
532Y,干货项目,干货,万元,副食干货类,蔬菜干货
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
536Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
571Y,茶叶项目,茶类,,副食干货类,苦茶
591Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
595Y,预制菜项目,冻食类,万元,副食干货类,饺子
755Y,蟹项目,蟹类,,生鲜类,帝王蟹
755Y,常温水果项目,生鲜水果,,生鲜类,人参果
760Y,月饼项目,月饼类,,副食干货类,普通月饼
760Y,预制菜项目,冻食类,,副食干货类,其它冷藏食品
760Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
771Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
771Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
791Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
991Y,海鲜水产项目,海鲜水产,,生鲜类,刀鱼
010Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
020Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
021Y,滋补品项目,中药材,,医药保健,金银花
021Y,肉类熟食项目,生鲜肉类,,生鲜类,鸡肉
022Y,粮油副食项目,粮油调味,万元,副食干货类,五谷杂粮
023Y,肉类熟食项目,生鲜蛋品,,生鲜类,其它蛋类
023Y,茶叶项目,茶类,,副食干货类,普洱
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,土豆
024Y,花卉苗木项目,鲜花类,,生鲜类,鲜花
025Y,滋补品项目,中药材,,医药保健,其它中药材
025Y,海鲜水产项目,海鲜水产,,生鲜类,鱼杂
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,苁蓉
028Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
028Y,海鲜水产项目,干货,万元,副食干货类,海产干货
029Y,蔬菜项目,生鲜蔬菜,,生鲜类,苁蓉
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
311Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
311Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,土豆
316Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
351Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
371Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
371Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
471Y,常温水果项目,生鲜水果,,生鲜类,榴莲
510Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
510Y,肉类熟食项目,生鲜肉类,,生鲜类,鸟肉
510Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
510Y,常温水果项目,生鲜水果,,生鲜类,鸡心果/鸡蛋果
551Y,肉类熟食项目,生鲜肉类,,生鲜类,驴肉
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
571Y,桔橙项目,生鲜水果,,生鲜类,油甘
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
577Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
591Y,蟹项目,蟹类,,生鲜类,面包蟹
591Y,蔬菜项目,生鲜蔬菜,,生鲜类,黄瓜
591Y,常温水果项目,生鲜水果,,生鲜类,山竹
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
592Y,常温水果项目,生鲜水果,,生鲜类,槟榔
595Y,蟹项目,蟹类,,生鲜类,梭子蟹
731Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
752Y,茶叶项目,茶类,,副食干货类,红茶
760Y,海鲜水产项目,海鲜水产,,生鲜类,鱼类
769Y,常温水果项目,生鲜水果,,生鲜类,牛油果
791Y,蟹项目,蟹类,,生鲜类,梭子蟹
791Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
898Y,肉类熟食项目,生鲜蛋品,,生鲜类,其它蛋类
931Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
991Y,茶叶项目,茶类,,副食干货类,绿茶
020Y,海鲜水产项目,海鲜水产,,生鲜类,海参
021Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
022Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,芋头
027Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
028Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
029Y,肉类熟食项目,生鲜肉类,,生鲜类,蛙肉
029Y,常温水果项目,生鲜水果,,生鲜类,鸡心果/鸡蛋果
311Y,常温水果项目,生鲜水果,,生鲜类,青梅
316Y,茶叶项目,茶类,,副食干货类,花茶
351Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
371Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
431Y,滋补品项目,保健滋补,,医药保健,阿胶
431Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
471Y,蔬菜项目,生鲜蔬菜,,生鲜类,洋葱
471Y,常温水果项目,生鲜水果,,生鲜类,人参果
513Y,禽鱼项目,活体类,,生鲜类,活体
513Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
531Y,海鲜水产项目,海鲜水产,,生鲜类,海胆
532Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
536Y,预制菜项目,冻食类,,副食干货类,汤圆
571Y,常温水果项目,生鲜水果,,生鲜类,蛋黄果
574Y,预制菜项目,冻食类,,副食干货类,丸子
574Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
574Y,粮油副食项目,粮油调味,,副食干货类,面食
574Y,桔橙项目,生鲜水果,,生鲜类,油甘
574Y,茶叶项目,茶类,,副食干货类,苦茶
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
592Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
592Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
731Y,蔬菜项目,生鲜蔬菜,,生鲜类,玉米
755Y,滋补品项目,中药材,,医药保健,其它中药材
757Y,预制菜项目,熟食类,,副食干货类,熟食肉类
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,芋头
757Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
771Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
791Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
791Y,禽鱼项目,活体类,,生鲜类,禽类
871Y,预制菜项目,熟食类,,副食干货类,熟食海鲜
871Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
931Y,茶叶项目,茶类,,副食干货类,绿茶
991Y,预制菜项目,熟食类,,副食干货类,卤味
991Y,常温水果项目,生鲜水果,,生鲜类,蛋黄果
010Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
020Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
