area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
991Y,常温水果项目,生鲜水果,,生鲜类,龙宫果
991Y,常温水果项目,生鲜水果,,生鲜类,椰子
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
020Y,滋补品项目,中药材,,医药保健,其它中药材
021Y,滋补品项目,保健滋补,,医药保健,阿胶
021Y,蓝莓项目,生鲜水果,万元,生鲜类,蓝莓
021Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
024Y,常温水果项目,生鲜水果,,生鲜类,柠檬
024Y,茶叶项目,茶类,,副食干货类,茶叶
025Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
025Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
025Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
027Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
028Y,杏项目,生鲜水果,万元,生鲜类,杏子
028Y,蔬菜项目,生鲜蔬菜,,生鲜类,葱姜蒜椒
029Y,茶叶项目,中药材,,医药保健,石斛/枫斗
311Y,肉类熟食项目,生鲜肉类,,生鲜类,鸟肉
431Y,预制菜项目,休闲食品,,副食干货类,自热食品
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
431Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,南瓜
451Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
532Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
532Y,茶叶项目,茶类,,副食干货类,黑茶
536Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
536Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
536Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
574Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
579Y,常温水果项目,生鲜水果,,生鲜类,桑葚
579Y,茶叶项目,茶类,,副食干货类,乌龙茶
591Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,菜苗
592Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
592Y,茶叶项目,茶类,,副食干货类,绿茶
752Y,预制菜项目,熟食类,,副食干货类,卤味
752Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸭蛋
755Y,茶叶项目,茶类,,副食干货类,罗汉果
757Y,禽鱼项目,活体类,万元,生鲜类,虫类
757Y,海鲜水产项目,海鲜水产,,生鲜类,海兔子
760Y,禽鱼项目,活体类,,生鲜类,观赏类
760Y,干货项目,干货,万元,副食干货类,蔬菜干货
760Y,常温水果项目,生鲜水果,,生鲜类,蔓越莓
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
771Y,常温水果项目,生鲜水果,,生鲜类,榴莲
771Y,茶叶项目,茶类,,副食干货类,黑茶
851Y,预制菜项目,熟食类,,副食干货类,熟食海鲜
871Y,滋补品项目,保健滋补,,医药保健,燕窝
898Y,滋补品项目,保健滋补,,医药保健,阿胶
931Y,枣项目,休闲食品,万元,副食干货类,红枣
020Y,月饼项目,月饼类,,副食干货类,普通月饼
020Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
022Y,枣项目,生鲜水果,,生鲜类,冬枣/鲜枣
022Y,肉类熟食项目,生鲜蛋品,,生鲜类,鹅蛋
024Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
025Y,粽子项目,熟食类,万元,副食干货类,粽子
028Y,预制菜项目,冻食类,万元,副食干货类,饺子
028Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
029Y,常温水果项目,生鲜水果,,生鲜类,柿子
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
311Y,肉类熟食项目,生鲜肉类,,生鲜类,鸽子肉
311Y,茶叶项目,茶类,,副食干货类,茶叶
316Y,常温水果项目,生鲜水果,,生鲜类,香蕉
351Y,月饼项目,月饼类,,副食干货类,普通月饼
351Y,海鲜水产项目,海鲜水产,,生鲜类,虾类
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,葫芦
371Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
451Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
451Y,常温水果项目,生鲜水果,,生鲜类,甘蔗
