3、流向静态底表，old_city_code数据量统计（截止20230612）,,,
cityflow,inc_day,sum(all_waybill_num),sum(all_quantity)
910-010,20200213,1,1
910-755,20200213,1,1
910-021,20200212,5,5
910-510,20200212,1,1
910-594,20200211,1,1
910-769,20200211,1,1
910-769,20200210,1,1
010-731,20200209,1,1
910-512,20200209,2,2
910-029,20200208,1,1
910-911,20200208,1,1
910-512,20200208,1,1
910-769,20200207,1,1
910-029,20200207,1,1
910-021,20200207,3,3
910-512,20200207,2,2
910-594,20200206,1,1
910-510,20200205,1,1
910-021,20200205,1,1
910-510,20200204,1,1
910-512,20200204,2,2
910-021,20200203,1,1
910-769,20200203,2,2
910-915,20200203,1,1
910-029,20200202,1,1
910-769,20200201,1,1
910-769,20200131,1,1
910-512,20200130,1,1
910-371,20200130,1,1
910-029,20200130,2,2
910-912,20200130,1,1
910-769,20200129,1,1
910-029,20200129,1,1
910-021,20200128,1,1
910-934,20200126,1,1
910-769,20200126,1,1
910-555,20200124,1,1
910-755,20200124,1,1
910-913,20200124,1,1
910-769,20200124,1,1
910-512,20200124,1,1
910-029,20200124,2,2
910-512,20200123,1,1
910-021,20200123,1,1
910-593,20200123,1,1
910-595,20200122,1,1
910-029,20200122,1,1
910-021,20200122,1,1
910-021,20200121,2,2
910-029,20200121,3,14
910-711,20200121,2,2
910-911,20200121,1,1
910-512,20200121,2,2
910-769,20200120,2,2
910-029,20200120,1,1
910-515,20200120,1,2
910-711,20200120,1,1
910-510,20200120,1,1
7311-731,20200120,1,1
910-791,20200120,1,1
910-512,20200120,2,2
910-513,20200119,1,1
910-595,20200119,1,1
910-591,20200119,1,1
910-711,20200119,2,2
470-731,20200118,1,1
910-029,20200118,7,7
910-711,20200118,3,3
910-510,20200118,1,1
910-595,20200118,1,1
910-029,20200117,2,2
910-711,20200117,1,1
910-913,20200117,1,1
910-374,20200117,1,1
910-736,20200117,1,1
910-769,20200116,2,14
910-510,20200116,1,1
910-512,20200116,1,1
910-021,20200116,3,3
910-394,20200115,1,1
735-731,20200115,1,1
910-029,20200115,3,3
910-510,20200115,1,1
910-373,20200115,1,1
910-021,20200115,1,1
910-395,20200114,1,1
910-769,20200114,1,1
910-595,20200113,1,1
910-510,20200113,1,1
910-311,20200113,1,1
910-029,20200112,2,2
910-755,20200112,2,2
910-029,20200111,2,2
910-512,20200111,1,1
910-021,20200111,3,3
910-827,20200110,1,1
910-512,20200110,2,2
910-719,20200110,1,1
910-029,20200110,2,3
910-512,20200109,2,2
910-021,20200109,3,3
910-711,20200109,1,1
910-029,20200109,1,1
910-931,20200109,1,1
7311-731,20200108,1,1
910-029,20200108,3,3
910-021,20200108,1,1
910-512,20200108,2,2
910-574,20200108,1,1
910-029,20200107,1,1
910-512,20200107,1,1
910-510,20200107,1,1
910-755,20200107,1,1
910-029,20200106,1,1
910-021,20200106,3,3
910-029,20200105,1,1
910-757,20200105,2,2
910-021,20200104,1,1
910-512,20200104,1,1
910-029,20200104,1,1
910-711,20200104,1,1
910-021,20200103,1,1
910-512,20200103,1,1
910-029,20200103,2,2
910-769,20200103,2,2
910-938,20200103,1,1
910-029,20200102,3,3
910-711,20200102,1,1
910-029,20200101,1,1
910-757,20200101,1,1
910-021,20191231,1,1
910-594,20191231,1,1
910-911,20191231,1,1
910-757,20191231,1,1
910-519,20191231,1,1
910-551,20191230,1,1
910-515,20191230,1,1
7313-731,20191229,1,1
910-595,20191229,2,2
910-769,20191228,2,2
910-835,20191228,1,1
910-595,20191227,1,1
910-021,20191227,1,1
910-510,20191226,1,1
910-512,20191226,1,1
910-755,20191226,1,1
910-711,20191225,1,1
910-512,20191225,1,1
910-769,20191224,1,1
910-512,20191224,1,1
910-021,20191224,1,1
910-595,20191224,1,1
910-029,20191223,1,1
910-021,20191223,1,1
910-512,20191223,1,1
910-512,20191222,1,1
910-027,20191221,1,1
910-7311,20191221,2,2
910-769,20191220,1,1
910-029,20191220,2,2
910-755,20191219,1,1
910-029,20191219,2,2
910-912,20191219,1,1
910-021,20191218,5,5
910-595,20191218,2,2
910-512,20191218,1,1
910-510,20191218,1,1
910-594,20191218,4,4
910-757,20191218,2,2
910-510,20191217,2,2
910-513,20191217,3,5
910-595,20191217,2,2
910-512,20191217,2,2
910-7311,20191217,1,1
910-594,20191217,2,2
910-757,20191217,3,3
910-021,20191217,2,2
910-029,20191217,1,1
910-769,20191217,2,2
910-711,20191217,1,1
910-512,20191216,2,2
910-475,20191216,1,1
910-757,20191216,1,1
910-510,20191216,1,1
910-029,20191216,1,1
910-595,20191216,2,2
910-594,20191216,2,2
910-021,20191216,3,3
910-471,20191216,1,1
910-513,20191216,1,2
910-931,20191215,1,1
910-029,20191215,2,2
910-023,20191215,1,1
910-530,20191215,1,2
910-594,20191215,4,4
910-769,20191215,4,4
910-757,20191215,1,1
910-021,20191215,6,6
910-512,20191215,10,10
910-371,20191214,1,1
910-027,20191214,1,1
910-551,20191214,1,1
910-7311,20191214,1,1
910-769,20191214,3,3
910-021,20191214,15,15
910-595,20191214,12,12
910-010,20191214,1,1
910-512,20191214,13,13
910-379,20191214,1,1
735-731,20191214,1,1
910-594,20191214,1,1
